Likes,Views
1785,19147
15593,607849
1466,52695
2498,129231
1822,30352
1969,82902
2364,50941
1639,92899
1050,79741
82083,2541347
4134,77502
1490,57446
9401,150039
17307,331603
4147,106966
1435534,36868871
20319,190106
599842,23222262
8870,834400
697363,18609928
48823,1461872
162408,14118968
283831,12550897
79336,1667301
61689,1284173
8574,936041
98519,3020492
15312,286969
101465,3487219
44866,1486176
833480,23717752
183765,4181136
7387,125674
137796,2064594
1790536,44424347
142,2813
626889,14694097
88764,1815856
1602939,54583132
18225,1667322
148031,3653854
45763,1208037
157,4806
785650,23973948
3867,43046
55962,1685445
11620,1048056
15641,377483
641,21129
19007,9904507
14868,618566
1734,35516
8033,196801
1,553892
171757,11563268
1075,19923
33342,269849
346,9050
135411,3666465
393,12513
59583,3442343
18551,504475
1810,285609
779,41517
17411,2322280
4192,1010999
4758,1266475
8436,594480
12970,2885013
2672,73864
14665,1293718
355,30215
228,12666
19135,4043624
18106,7510904
8680,1945769
600,131716
105,28219
354984,8186585
830,239924
3600,592173
9641,2278082
7247,1766202
741,117695
22450,2188598
20138,5351960
1,2389222
643,24012
3963,132403
29732,405850
1,1541874
20442,3989464
409,45122
26505,5903244
5544,701005
791,128548
179555,65067408
54154,15397832
17,2758
280080,52046148
56258,3505369
31601,6301646
85408,3733933
7791,173717
23915,6897438
42757,2885056
700,18302
55282,2586478
51915,2197690
118846,3069097
6579,313285
16394,573706
6386,122824
2216,87484
2923,89486
2970,66888
19444,609802
12111,266203
4238,261889
630,11642
2353,78038
7514,195145
56267,2214491
2673,76828
2604,113661
2020,54541
7742,271415
30536,1332052
4267,138290
1760,35373
5407,309718
26837,559680
12875,317372
712,17259
14986,324079
1738,32054
36835,1456270
3252,99774
7555,295344
582,10129
3765,85503
19969,578389
29589,718461
43704,800364
20106,435863
44518,1058423
71,911
16225,510592
3759,151345
55097,2287752
2313,95826
2180,31289
2350,72414
8896,304816
4869,101255
39458,961789
33471,855620
30398,720075
33529,677081
11496,318051
6314,181931
8491,202934
6770,137791
52388,691573
30071,405989
16028,283172
82,1352
18486,353784
52347,1705786
2611,36138
42113,1379849
11283,265906
328,2661
45878,1291584
24954,808215
12759,323071
193795,6478696
4597,107917
54822,1419701
374,6573
1218,15426
169994,2853947
11283,176919
79849,2475429
7774,165986
5009,67619
17967,470123
46566,1732100
9330,320959
57691,1510897
1796,47696
3792,58850
19112,527380
17272,492976
889,18154
7665,133708
1244,23909
3831,76643
6545,128164
630,5663
34468,1085330
25476,512978
1409,30465
5556,170837
27768,578167
41946,3346948
42940,1407324
43189,2317183
15137,906372
36835,1456270
38776,2278698
1237,32605
30764,856628
18982,1339489
300789,11814893
13141,181827
17219,762553
16152,605453
44217,872008
559,27243
22643,508969
16723,738202
8812,578179
34464,1651599
12687,367200
29818,854273
27736,1432027
176978,10817160
4831,292643
29980,1167616
3518,127492
26619,1378069
5658,132583
9862,402110
463331,7497071
18847,1414209
10441,515395
25161,847233
1151,25386
109335,5028230
1520,56956
4306,238411
413,41925
5190,145691
15683,879470
3505,257103
2712,82298
2464,192964
7289,351087
4759,130286
1861,37959
9615,319957
10259,386360
2981,431421
5198,226152
5197,556152
7878,431421
